ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0099504	synaptic vesicle cycle	55/1893	208/16780	0.264423076923077	2.34390873257751	6.9545451493496	9.02757084614517e-10	4.8071814755723e-06	4.8071814755723e-06	ATP6V1C1/NAPB/DNAJC6/STX1B/VPS18/SYT13/ROCK1/ATP6V1E1/BLOC1S6/UNC13A/DNAJC5/CDH2/EPS15L1/OTOF/ATP6V1A/SH3GL2/C9orf72/PREPL/OPHN1/ATP6V1B2/SYT4/SYN2/DNM3/STXBP1/EFR3A/RPH3A/AP2M1/SYT11/SYT7/AP3M2/SLC17A7/RAC1/SNAP25/MX2/AP2A2/CALM3/RAP1B/BSN/RAB27B/PPP3CB/SNCA/AMPH/CADPS/RAB3B/FBXO45/SV2B/SV2A/NPY/ITSN1/RIMS3/ATP6V1D/SLC32A1/SLC17A6/SYNJ1/PRKN	55
GO:0050804	modulation of chemical synaptic transmission	96/1893	467/16780	0.205567451820128	1.82219854281128	6.42573742139271	2.93865161071367e-09	6.56470465537934e-06	6.56470465537935e-06	CLSTN2/SLC38A1/STX1B/SLC4A10/UBE3A/YWHAH/VPS18/FAM107A/GABRA4/TUBB2B/PLPPR4/CRH/SYT13/TSHZ3/PAFAH1B1/SORCS3/GRM6/CHRM2/GPR158/APBA2/MTMR2/TAC1/TYROBP/UNC13A/INA/CBLN4/NXPH1/PLCL2/NALCN/OTOF/RGS4/NETO1/PREPL/RAB11A/OPHN1/APP/SYT4/DLGAP1/ELOVL4/STXBP1/YWHAG/PTPRS/SYT11/SYT7/CBLN2/NMU/GRM5/ATG5/PLK2/PTN/VGF/MAPK9/SLC24A2/ADAM22/GUCY1A1/GLRA2/TMEM25/PENK/GSK3B/CHRNB2/CALM3/RAP1B/TACR1/CAMK2A/BSN/KCNK2/GABRG2/SLC8A2/PPP3CB/VPS35/CLSTN3/NPY5R/PRKACA/NEFL/NRG3/LRFN2/PFN2/FBXO45/CPEB3/GRIN2C/SV2B/CAMK2D/MPP2/RASGRF1/NPY/STAT3/TPRG1L/CLSTN1/C1QL3/WNT5A/CAMKV/RIMS3/NPTN/GNAI2/PNOC/PRKN	96
GO:0099177	regulation of trans-synaptic signaling	96/1893	469/16780	0.204690831556503	1.81442797333234	6.37901405987911	3.69842515796019e-09	6.56470465537934e-06	6.56470465537935e-06	CLSTN2/SLC38A1/STX1B/SLC4A10/UBE3A/YWHAH/VPS18/FAM107A/GABRA4/TUBB2B/PLPPR4/CRH/SYT13/TSHZ3/PAFAH1B1/SORCS3/GRM6/CHRM2/GPR158/APBA2/MTMR2/TAC1/TYROBP/UNC13A/INA/CBLN4/NXPH1/PLCL2/NALCN/OTOF/RGS4/NETO1/PREPL/RAB11A/OPHN1/APP/SYT4/DLGAP1/ELOVL4/STXBP1/YWHAG/PTPRS/SYT11/SYT7/CBLN2/NMU/GRM5/ATG5/PLK2/PTN/VGF/MAPK9/SLC24A2/ADAM22/GUCY1A1/GLRA2/TMEM25/PENK/GSK3B/CHRNB2/CALM3/RAP1B/TACR1/CAMK2A/BSN/KCNK2/GABRG2/SLC8A2/PPP3CB/VPS35/CLSTN3/NPY5R/PRKACA/NEFL/NRG3/LRFN2/PFN2/FBXO45/CPEB3/GRIN2C/SV2B/CAMK2D/MPP2/RASGRF1/NPY/STAT3/TPRG1L/CLSTN1/C1QL3/WNT5A/CAMKV/RIMS3/NPTN/GNAI2/PNOC/PRKN	96
GO:0099003	vesicle-mediated transport in synapse	58/1893	240/16780	0.241666666666667	2.14219052650114	6.3552285253672	1.20432025796164e-08	1.60325134341143e-05	1.60325134341143e-05	ATP6V1C1/NAPB/DNAJC6/STX1B/VPS18/SYT13/ROCK1/ATP6V1E1/BLOC1S6/UNC13A/DNAJC5/CDH2/EPS15L1/OTOF/ATP6V1A/SH3GL2/C9orf72/PREPL/OPHN1/ATP6V1B2/NECAP1/SYT4/SYN2/DNM3/STXBP1/EFR3A/RPH3A/AP2M1/EPS15/SYT11/SYT7/AP3M2/SLC17A7/RAC1/SNAP25/MX2/AP2A2/CALM3/RAP1B/BSN/RAB27B/PPP3CB/SUSD4/SNCA/AMPH/CADPS/RAB3B/FBXO45/SV2B/SV2A/NPY/ITSN1/RIMS3/ATP6V1D/SLC32A1/SLC17A6/SYNJ1/PRKN	58
GO:0061564	axon development	84/1893	405/16780	0.207407407407407	1.83850834458336	6.09114581351614	1.88452523567032e-08	2.00701937598889e-05	2.00701937598889e-05	RET/DCLK1/EMB/B4GALT6/INPP5F/CRTAC1/FGF13/PTPRO/NTN4/SLITRK1/TUBB2B/PLPPR4/CDK5R1/SMURF1/EFNA5/SLIT2/ATL1/PAFAH1B1/SMO/SZT2/SEMA4B/SLC25A46/TRPC5/MAP2/STK24/CDH2/ISLR2/ECE1/EPHA5/TSKU/BSG/PRKCQ/C9orf72/NEUROD6/OPHN1/AMIGO1/APP/BOC/SEMA7A/FLRT3/STXBP1/CNTN1/SEMA4F/PTPRS/CNTNAP1/SHH/UNC5D/TIAM1/LGR6/ROBO2/GDI1/NPTX1/RAC1/PTN/ARHGEF40/GSK3B/AFG3L2/CNTN6/CHRNB2/B4GALT5/PITPNA/CLASP2/NFIB/THY1/APBB1/PPP3CB/PRKG1/KREMEN1/RTCA/PALLD/TENM1/PAK1/SLC9A6/PRICKLE1/ROBO3/NMNAT2/NOTCH2/NELL2/WNT5A/ATOH7/TENM3/NPTN/SPG11/WNT7B	84
GO:0048667	cell morphogenesis involved in neuron differentiation	92/1893	461/16780	0.199566160520607	1.76900167645842	5.97015666685783	2.82935814373314e-08	2.51105535256317e-05	2.51105535256317e-05	RET/DCLK1/PDLIM5/EMB/B4GALT6/ABI2/YWHAH/FGF13/PTPRO/ARMCX5-GPRASP2/NTN4/SLITRK1/TUBB2B/PLPPR4/FAT3/CDK5R1/SMURF1/EFNA5/SLIT2/ATL1/PAFAH1B1/SMO/SZT2/SEMA4B/TRPC5/BLOC1S6/MAP2/GPRASP3/CDH2/ISLR2/ECE1/EPHA5/TSKU/BSG/PRKCQ/C9orf72/OPHN1/AMIGO1/SULT4A1/APP/BOC/SEMA7A/FLRT3/GORASP1/STXBP1/CNTN1/SEMA4F/PTPRS/CNTNAP1/SHH/UNC5D/TIAM1/LGR6/ROBO2/GDI1/NPTX1/GRM5/RAC1/NGEF/PTN/ARHGEF40/GSK3B/AFG3L2/CNTN6/CHRNB2/B4GALT5/PITPNA/CLASP2/NFIB/THY1/RAP2A/APBB1/PPP3CB/PRKG1/PALLD/TENM1/PAK1/SLC9A6/PRICKLE1/ROBO3/NOTCH2/NELL2/WNT5A/ATOH7/TENM3/NPTN/BTBD3/VLDLR/SPG11/WNT7B/CUX1/CDC42	92
GO:0007409	axonogenesis	75/1893	355/16780	0.211267605633803	1.87272605522198	5.92644392106231	4.90057914597217e-08	3.72794056461455e-05	3.72794056461455e-05	RET/DCLK1/EMB/B4GALT6/FGF13/PTPRO/NTN4/SLITRK1/TUBB2B/PLPPR4/CDK5R1/SMURF1/EFNA5/SLIT2/ATL1/PAFAH1B1/SMO/SZT2/SEMA4B/TRPC5/MAP2/CDH2/ISLR2/ECE1/EPHA5/TSKU/BSG/PRKCQ/C9orf72/OPHN1/AMIGO1/APP/BOC/SEMA7A/FLRT3/STXBP1/CNTN1/SEMA4F/PTPRS/CNTNAP1/SHH/UNC5D/TIAM1/LGR6/ROBO2/GDI1/NPTX1/RAC1/ARHGEF40/GSK3B/AFG3L2/CNTN6/CHRNB2/B4GALT5/PITPNA/CLASP2/NFIB/THY1/APBB1/PPP3CB/PRKG1/PALLD/TENM1/PAK1/SLC9A6/PRICKLE1/ROBO3/NOTCH2/NELL2/WNT5A/ATOH7/TENM3/NPTN/SPG11/WNT7B	75
GO:0072657	protein localization to membrane	83/1893	427/16780	0.194379391100703	1.72302492481236	5.39663738914247	4.30815723342096e-07	0.000281802279891613	0.000281802279891613	PIP5K1A/CD81/RAB6D/CLTC/STX7/NSF/ALDH7A1/ACSL3/FGF13/EMP2/SMURF1/LZTFL1/RAB13/GPR158/ROCK1/MAP2K1/RAB6B/EXOC4/BLOC1S6/DAB2/CD53/CDH2/TMED2/PKP1/TM9SF2/BSG/PRKCE/NETO1/PREPL/RAB11A/RAB6A/EHD2/GGA3/STXBP1/EFR3A/FERMT2/AP2M1/MYADM/ZDHHC5/EHD3/NPTX1/GRM5/RACK1/OPTN/PTN/TM9SF3/CNST/LARGE1/IKBKB/ERBB2/MRAP2/CAMK2A/EPB41L3/KCNB2/NETO2/THY1/RAB34/TSPAN5/VPS35/CCDC88A/LGALS3/DLG3/KIF13A/PRKCH/VWC2/HPS6/NMT1/WDR19/TNFRSF1A/DPP10/PPFIA1/CAMK2D/EGFR/CLSTN1/C1QL3/CLIP3/ATP1B1/VAMP4/ATP2C1/PRPH2/TMBIM1/C2CD5/PRKN	83
GO:0007218	neuropeptide signaling pathway	31/1893	107/16780	0.289719626168224	2.56814333180285	5.80263855394838	4.76285543478782e-07	0.000281802279891613	0.000281802279891613	GPR149/CRH/QRFPR/SORCS3/TAC1/GLRB/GRPR/NPW/CYSLTR1/NMU/NTSR2/SCG5/SSTR4/GLRA2/PENK/HCRTR1/HCRTR2/NPPA/MCHR1/TENM1/NPY5R/OPRK1/NPY/KISS1R/SSTR3/RXFP3/GRP/NXPH2/PNOC/PROKR2/NPFFR2	31
GO:1990778	protein localization to cell periphery	69/1893	343/16780	0.201166180758017	1.78318463450583	5.22582293551154	1.12371539778072e-06	0.000556738558840434	0.000556738558840434	PIP5K1A/CD81/CLTC/STX7/NSF/ALDH7A1/ACSL3/FGF13/EMP2/SMURF1/LZTFL1/RAB13/GPR158/ROCK1/MAP2K1/EXOC4/BLOC1S6/DAB2/TMED2/PKP1/BSG/PRKCE/NETO1/PREPL/RAB11A/GPSM2/EHD2/GGA3/STXBP1/EFR3A/AP2M1/MYADM/ZDHHC5/EHD3/NPTX1/RACK1/OPTN/CNST/IKBKB/ERBB2/MRAP2/CAMK2A/EPB41L3/KCNB2/NETO2/RAB34/TSPAN5/VPS35/CCDC88A/SNCA/LGALS3/KIF13A/PRKCH/VWC2/WDR19/TNFRSF1A/DPP10/PPFIA1/CAMK2D/EGFR/CLSTN1/C1QL3/CLIP3/ATP1B1/VAMP4/ATP2C1/PRPH2/TMBIM1/C2CD5	69
