"GO.ID","Term","Annotated","Significant","Expected","pvalue"
"GO:0007268","chemical synaptic transmission",699,161,78.69,9.3e-09
"GO:0007218","neuropeptide signaling pathway",107,31,12.05,4.5e-07
"GO:0051260","protein homooligomerization",207,44,23.3,6.7e-06
"GO:1900242","regulation of synaptic vesicle endocytosis",21,10,2.36,3.5e-05
"GO:0014059","regulation of dopamine secretion",22,10,2.48,5.7e-05
"GO:0060078","regulation of postsynaptic membrane potential",139,32,15.65,6.9e-05
"GO:0042053","regulation of dopamine metabolic process",15,8,1.69,7.9e-05
"GO:0001508","action potential",156,36,17.56,7.9e-05
"GO:0110076","negative regulation of ferroptosis",19,9,2.14,9.2e-05
"GO:0016082","synaptic vesicle priming",27,11,3.04,0.00014
"GO:1904862","inhibitory synapse assembly",29,11,3.26,0.00018
"GO:0043649","dicarboxylic acid catabolic process",17,8,1.91,0.00024
"GO:0006536","glutamate metabolic process",22,9,2.48,0.00036
"GO:0071805","potassium ion transmembrane transport",199,45,22.4,0.00041
"GO:0032228","regulation of synaptic transmission, GABAergic",34,12,3.83,0.00053
"GO:1904262","negative regulation of TORC1 signaling",48,14,5.4,0.00059
"GO:0070593","dendrite self-avoidance",15,7,1.69,0.00064
"GO:0050803","regulation of synapse structure or activity",309,59,34.79,7e-04
"GO:0007411","axon guidance",185,39,20.83,0.00078
"GO:0045920","negative regulation of exocytosis",31,9,3.49,0.00102
"GO:0007214","gamma-aminobutyric acid signaling pathway",25,9,2.81,0.00108
"GO:0021766","hippocampus development",50,13,5.63,0.00109
"GO:0007626","locomotory behavior",81,22,9.12,0.00124
"GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway",97,22,10.92,0.00135
"GO:0070534","protein K63-linked ubiquitination",78,18,8.78,0.00157
"GO:0006103","2-oxoglutarate metabolic process",17,7,1.91,0.00158
"GO:0042996","regulation of Golgi to plasma membrane protein transport",13,6,1.46,0.00172
"GO:0050777","negative regulation of immune response",189,25,21.28,0.00172
"GO:0007613","memory",87,19,9.79,0.00181
