GO ID	GO Term	Ontology	clusterProfiler BH FDR	clusterProfiler Fold Enrichment	topGO p-value	gProfiler2 Up FDR	gProfiler2 Down FDR	Methods Significant	Methods Included	Significant Method(s)
GO:0071805	potassium ion transmembrane transport	GO:BP	1.44e-03	2.00	4.10e-04		2.06e-08	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)
GO:0050803	regulation of synapse structure or activity	GO:BP	4.59e-03	1.70	7.00e-04		4.43e-08	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)
GO:0007269	neurotransmitter secretion	GO:BP	1.69e-03	2.20	8.01e-03		4.24e-07	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)
GO:0007218	neuropeptide signaling pathway	GO:BP	2.82e-04	2.57	4.50e-07		4.71e-07	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)
GO:0007626	locomotory behavior	GO:BP	7.83e-03	2.41	1.24e-03		1.35e-05	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)
GO:0001508	action potential	GO:BP	3.60e-03	2.06	7.90e-05		5.21e-05	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)
GO:0050804	modulation of chemical synaptic transmission	GO:BP	6.56e-06	1.82	1.52e-02		5.99e-18	2	3	clusterProfiler; gProfiler2 (Up/Down)
GO:0099177	regulation of trans-synaptic signaling	GO:BP	6.56e-06	1.81	1.00e+00		6.88e-18	2	3	clusterProfiler; gProfiler2 (Up/Down)
GO:0061564	axon development	GO:BP	2.01e-05	1.84	4.73e-01		3.94e-14	2	3	clusterProfiler; gProfiler2 (Up/Down)
GO:0007610	behavior	GO:BP	2.11e-03	1.67	1.00e+00		9.52e-13	2	3	clusterProfiler; gProfiler2 (Up/Down)
